,URL,Start Date,End Date,Year
56,https://uploads5.wikiart.org/images/el-greco/the-holy-family-with-st-anne-and-the-young-st-john-the-baptist.jpg,1601,1601,1601
57,https://uploads2.wikiart.org/00115/images/adam-van-noort/the-preaching-of-john-the-baptist-1601.png!PinterestSmall.png,1601,1601,1601
58,https://uploads8.wikiart.org/00340/images/orazio-gentileschi/stigmatization-of-st-francis.jpg,1600,1601,1600
59,https://uploads2.wikiart.org/images/el-greco/portrait-of-diego-de-covarrubias.jpg,1602,1602,1602
60,https://uploads8.wikiart.org/images/hans-von-aachen/allegory-of-peace-art-and-abundance-1602.jpg,1602,1602,1602
61,https://uploads4.wikiart.org/00329/images/alessandro-allori/descanso-na-fuga-para-o-egito-allori.jpg,1602,1602,1602
62,https://uploads7.wikiart.org/00331/images/alessandro-allori/alessandro-allori-nativit-della-vergine-1602-01.jpg,1602,1602,1602
63,https://uploads8.wikiart.org/images/el-greco/portrait-of-the-artist-s-son-jorge-manuel-theotokopoulos.jpg,1603,1603,1603
64,https://uploads3.wikiart.org/00340/images/orazio-gentileschi/st-francis-supported-by-an-angel.jpg,1603,1603,1603
65,https://uploads1.wikiart.org/00248/images/hendrick-goltzius/hendrick-goltzius-portrait-of-the-haarlem-shell-collector-jan-govertsen-van-der-aer-google-art.jpg,1603,1603,1603
66,https://uploads5.wikiart.org/00290/images/palma-il-giovane/nativity-of-mary-by-palma-il-giovane-in-san-trovaso-venice.jpg,1603,1603,1603
67,https://uploads5.wikiart.org/00290/images/palma-il-giovane/palma-il-giovane-nativit-di-maria-1591-1603-ca-03.jpg,1603,1603,1603
68,https://uploads7.wikiart.org/00327/images/bartholomaus-spranger/spranger-baptism-of-christ.jpg,1603,1603,1603
69,https://uploads2.wikiart.org/images/el-greco/annunciation-3.jpg,1604,1604,1604
70,https://uploads3.wikiart.org/images/el-greco/coronation-of-the-virgin.jpg,1604,1604,1604
71,https://uploads6.wikiart.org/images/el-greco/madonna-of-charity.jpg,1604,1604,1604
72,https://uploads8.wikiart.org/images/el-greco/st-andrew-and-st-francis-1604.jpg,1604,1604,1604
73,https://uploads6.wikiart.org/images/el-greco/st-bernardino-of-siena-1604.jpg,1604,1604,1604
74,https://uploads1.wikiart.org/images/el-greco/st-john-the-evangelist.jpg,1604,1604,1604
75,https://uploads0.wikiart.org/images/el-greco/the-nativity.jpg,1604,1604,1604
76,https://uploads6.wikiart.org/images/hans-von-aachen/allegorie-on-the-battle-of-bra-ov-1604.jpg,1604,1604,1604
77,https://uploads8.wikiart.org/images/hans-von-aachen/allegorie-on-the-battle-of-gur-sl-u-1604.jpg,1604,1604,1604
78,https://uploads4.wikiart.org/images/hans-von-aachen/allegory-on-the-battle-of-sisak-1604.jpg,1604,1604,1604
79,https://uploads4.wikiart.org/images/hans-von-aachen/allegory-on-the-conquest-of-stuhlwei-enburg-sz-kesfeh-rv-r-1604.jpg,1604,1604,1604
80,https://uploads2.wikiart.org/images/hans-von-aachen/allegory-on-the-declaration-of-war-before-constantinople-1604.jpg,1604,1604,1604
81,https://uploads1.wikiart.org/images/hans-von-aachen/portrait-of-anna-of-austria-1585-1618-1604.jpg,1604,1604,1604
82,https://uploads7.wikiart.org/images/hans-von-aachen/the-three-graces-1604.jpg,1604,1604,1604
83,https://uploads7.wikiart.org/images/fede-galizia/portrait-of-federico-zuccari-1604.jpg,1604,1604,1604
84,https://uploads7.wikiart.org/images/el-greco/christ-in-agony-on-the-cross.jpg,1605,1605,1605
85,https://uploads3.wikiart.org/images/el-greco/holy-family-with-st-anne.jpg,1605,1605,1605
86,https://uploads2.wikiart.org/images/el-greco/portrait-of-a-young-man.jpg,1605,1605,1605
87,https://uploads6.wikiart.org/images/el-greco/portrait-of-dominican-friar.jpg,1605,1605,1605
88,https://uploads1.wikiart.org/images/el-greco/portrait-of-don-rodrigo-vasquez.jpg,1605,1605,1605
89,https://uploads2.wikiart.org/images/el-greco/portrait-of-pope-pius-v.jpg,1605,1605,1605
